Sr,Name,Total Volume (cft),Branch
343,SJD/48/2017,82.42,SamdrupJongkhar Unit
344,KD/63/2019-1,910.73,Khotokha Unit
345,MTD/S95/2021,2.33,Lingmethang Unit
346,MTD/S60/2021-1,13.43,Lingmethang Unit
347,MTD/S79/2021,28.67,Lingmethang Unit
348,MTD/S70/2021,93.96,Lingmethang Unit
349,MTD/S109/2021,5.45,Lingmethang Unit
350,MTD/S117/2021,8.17,Lingmethang Unit
351,MTD/S73/2021,150.78,Lingmethang Unit
352,MTD/S118/2021,152.54,Lingmethang Unit
353,KFMU/37/2016 (B)-1,140.16,Korilla Unit
354,KFMU/67/2017(B)-1,110.65,Korilla Unit
355,KFMU/38(A)2016-1(B),116.65,Korilla Unit
356,CT/01/2021,1399.17,Chendebji Unit
357,GD/2021/04,89.6,Gedu Unit
358,KD/104/2019(A)-1,1691.8,Khotokha Unit
359,KD/99/2020,884.03,Khotokha Unit
360,GPD/33/2020,537.1,Gogona Unit
361,PTD/13/2020(Teak),174.95,Phuntsholing Unit
362,GPR/71/2021,305.76,Gelephu Unit
363,SR/ 36/2021,240.68,Samtse Unit
364,SR/45/2021,298.79,Samtse Unit
365,D/156/2020 (A)-1,199.13,Gidakom Unit
366,D/86/2020,627.487345,Gidakom Unit
367,D/155/2020,723.536661,Gidakom Unit
368,GDP/27/21,409.5,Gogona Unit
369,Test-3,50,Khotokha Unit
370,KD/64/2021,845.38,Khotokha Unit
371,KD/66/2021,901.65,Khotokha Unit
372,KD/69/2021,488.83,Khotokha Unit
373,O/105/2021,120.08,Changkhaphu Unit
374,KD/64/2019(A),674.55,Khotokha Unit
375,WSC/MC/21/525-1,15,Ramtokto
376,WSC/MC/21/525,15,Ramtokto
377,WSC/BP/21/518,104.04,Ramtokto
378,SJD/43/2021.,140.32,SamdrupJongkhar Unit
379,KD/37/2021(A),568.83,Khotokha Unit
380,KD/25/2021(A)-2,456.95,Khotokha Unit
381,GPR/77/2021,540.23,Gelephu Unit
382,GPR/84/2021,448.58,Gelephu Unit
383,KD/59/2021,869.3,Khotokha Unit
384,KD/58/2021,793.71,Khotokha Unit
385,KKFMU/15/2020.,1225.25,Khaling Kharungla Unit
386,MTD/73/2021,36.4,Lingmethang Unit
387,D/156/2020 (A),267.649594,Gidakom Unit
388,D/49/2020,62.976083,Gidakom Unit
389,D/152/2020,363.85917,Gidakom Unit
390,D/190/2020,299.93,Gidakom Unit
391,D/40/2020,478.400274,Gidakom Unit
392,D/151/2020,209.337629,Gidakom Unit
393,"Ad/23(E),2020",71.23,Zhemgang Unit
394,MTD/S257/2021,11.83,Lingmethang Unit
395,UK/49/2021,1261.79,Karshong Unit
396,KD/104/2019(A),73.07,Khotokha Unit
397,KD/49/2021,100.61,Khotokha Unit
398,MTD/154/(A)/2020,979.07,Lingmethang Unit
399,KKFMU/07/2019,268.368001,Khaling Kharungla Unit
400,KKFMU/01/2019(c)-2,122.97,Khaling Kharungla Unit
401,KKFMJ/01/2019-C,108.6,Khaling Kharungla Unit
402,KD/116/2020(A),348.65,Khotokha Unit
403,WSC/MC/21/388-1,248.47,Ramtokto
404,WSC/MC/21/388,248.47,Ramtokto
405,CD/127/A/2019-1,515.3,Dawathang Unit
406,KD/76/2019(A),959.2,Khotokha Unit
407,KD/76/209(B),6.12,Khotokha Unit
408,CD/127/A/2019,515.3,Dawathang Unit
409,KD/11/2021(A),490.95,Khotokha Unit
410,KD/25/2021(A)-1,456.95,Khotokha Unit
411,CD/57/2018,1076.21,Dawathang Unit
412,KD/25/2021(A),550.56,Khotokha Unit
413,CD/95/2018,59.97,Dawathang Unit
414,CD/125/2019-2,515.3,Dawathang Unit
415,CD/125/2019-1,515.3,Dawathang Unit
416,CD/125/2019,1381.456266,Dawathang Unit
417,CPVT/14C/2018,639.78,Dawathang Unit
418,MTD/100/2021,577.99,Lingmethang Unit
419,WSC/BP/21/379,2,Ramtokto
420,WSC/MC/21/371,1489.01,Ramtokto
421,GAP/23/2021,211.56,Gasa Unit
422,KD/104/2019(B),1834.15,Khotokha Unit
423,WAD/08/2021,281.79,Wangdue
424,KD/08/2020(A)-1,688.83,Khotokha Unit
425,KD/08/2020,880.48,Khotokha Unit
426,UK/192/2020,972.77,Karshong Unit
427,GPD/06/2021,1090.68,Gogona Unit
428,GPD/09/2021-1,1090.68,Gogona Unit
429,GPD/09/2021,1090.68,Gogona Unit
430,SD/89/2020,225.52,Wangdue
431,GPR/65/2021,384.23,Gelephu Unit
432,MTD/101/2021,577.99,Lingmethang Unit
433,MTD/S218/2021,0.36,Lingmethang Unit
434,"Ad/13,2021",152.86,Zhemgang Unit
435,KD/44/2021,103.01,Khotokha Unit
436,KKFMU/17/2020 (b),341.52,Khaling Kharungla Unit
437,KFMU/14/2020-B,79.57,Khaling Kharungla Unit
438,KKFMU/20/2020 (b),412.93,Khaling Kharungla Unit
